,TotalTransactions,income,riskscore,subscribed,opened,SCRate,TRate,return-N6M,return-HYG,return-IVV,gen_F,gen_M,ed_Deg or abv,ed_H.Sch/Dip.,ed_Sec. or below
4,1382.3424054721902,47994.400910000004,5,0,0,0.05,0.0,-0.016544,0.031439,0.090737,0,1,1,0,0
6,1008.887570587052,99935.05077999999,4,0,0,0.03,0.0,-0.041937999999999996,0.009385,0.063593,1,0,1,0,0
10,65.72398821975,145872.9569,3,0,0,0.03,0.0,0.007121,-0.022425,-0.04503,1,0,0,1,0
15,507.70107454889995,52120.667610000004,5,0,0,0.05,0.0,0.002804,-0.054965999999999994,-0.11574300000000001,0,1,0,0,1
16,85910.6318895,865402.7759,1,1,0,0.03,0.0,0.007121,-0.022425,-0.04503,1,0,1,0,0
20,702.5043322713001,128543.83300000001,4,0,0,0.03,0.0,0.002804,-0.054965999999999994,-0.11574300000000001,0,1,0,0,1
21,147.86124476405038,78440.8607,3,1,0,0.03,0.0,-0.041937999999999996,0.009385,0.063593,1,0,1,0,0
24,874.4496527250001,28537.797510000004,3,0,0,0.0,0.003,0.007121,-0.022425,-0.04503,0,1,0,1,0
25,808.2157326186689,129553.9307,3,0,0,0.0,0.003,0.0,-0.044133,-0.05567999999999999,0,1,1,0,0
27,1300.6992415500001,98750.56596,3,1,0,0.03,0.0,0.007121,-0.022425,-0.04503,0,1,1,0,0
31,1700.2238141430696,117375.7366,5,1,0,0.0,0.005,-0.016544,0.031439,0.090737,1,0,0,1,0
33,3.144364200124983e-07,113363.3053,5,0,0,0.04,0.0,-0.014493,-0.039955000000000004,-0.096236,0,1,0,1,0
39,4979.60232329,311631.1894,2,0,0,0.03,0.0,-0.016544,0.031439,0.090737,0,1,0,1,0
40,3.150003067275975e-07,114188.508,2,0,0,0.03,0.0,0.007121,-0.022425,-0.04503,0,1,1,0,0
43,8193.430917214766,216026.0801,5,1,0,0.05,0.0,-0.041937999999999996,0.009385,0.063593,0,1,1,0,0
45,2994.9883090559997,79514.55636,1,0,0,0.0,0.003,-0.041937999999999996,0.009385,0.063593,0,1,0,1,0
47,977.809728183144,109524.8584,5,0,0,0.05,0.0,0.002804,-0.054965999999999994,-0.11574300000000001,1,0,0,1,0
50,8095.1802527228465,1473693.1269999999,4,0,0,0.03,0.0,0.0,-0.044133,-0.05567999999999999,0,1,1,0,0
51,778.4040616054717,253736.1643,3,0,0,0.0,0.003,-0.041937999999999996,0.009385,0.063593,1,0,1,0,0
53,82.43958677947168,39274.16861,3,0,0,0.0,0.003,0.0,-0.044133,-0.05567999999999999,0,1,0,1,0
54,446.3086851734713,151902.5606,3,0,0,0.03,0.0,-0.016544,0.031439,0.090737,0,1,0,1,0
56,236.02634512500867,37604.28155,4,0,0,0.0,0.003,0.0,-0.044133,-0.05567999999999999,1,0,0,1,0
57,878.3114099218445,77799.29888999999,4,0,0,0.03,0.0,-0.041937999999999996,0.009385,0.063593,0,1,1,0,0
59,2811.771222527932,303786.4477,5,0,0,0.05,0.0,0.0035605,-0.033279,-0.050355,1,0,1,0,0
60,375.12995883629,140743.7704,4,0,0,0.03,0.0,-0.041937999999999996,0.009385,0.063593,1,0,1,0,0
66,1331.5342343803125,258503.4015,5,0,0,0.05,0.0,0.0,-0.044133,-0.05567999999999999,0,1,1,0,0
69,2057.198564388294,68276.41199,5,1,0,0.05,0.0,-0.041937999999999996,0.009385,0.063593,0,1,0,0,1
72,3689.476830918658,135110.4485,5,0,0,0.05,0.0,-0.041937999999999996,0.009385,0.063593,0,1,0,1,0
73,16577.2311473,182995.5083,1,0,0,0.03,0.0,-0.016544,0.031439,0.090737,0,1,0,1,0
74,9828.735761971713,184613.9127,5,0,0,0.0,0.005,-0.043774,-0.022469,0.0036899999999999997,0,1,1,0,0
77,486.8145745414311,44717.690460000005,4,1,0,0.03,0.0,-0.043774,-0.022469,0.0036899999999999997,0,1,0,1,0
82,428.36456743916057,72475.91761,4,1,0,0.03,0.0,-0.014493,-0.039955000000000004,-0.096236,0,1,0,1,0
85,1022.9349587788,78040.23845,2,0,0,0.03,0.0,-0.041937999999999996,0.009385,0.063593,0,1,0,1,0
86,1125.8468024320002,64787.335289999995,1,0,0,0.0,0.003,-0.014493,-0.039955000000000004,-0.096236,0,1,1,0,0
87,14764.894103336626,213595.9679,5,1,1,0.05,0.0,-0.016544,0.031439,0.090737,0,1,0,1,0
91,3918.6633203999995,62748.94717000001,3,0,0,0.03,0.0,-0.041937999999999996,0.009385,0.063593,0,1,0,1,0
98,951.72432646365,53626.72526,4,0,0,0.03,0.0,-0.041937999999999996,0.009385,0.063593,1,0,0,1,0
99,1.574999259901233e-07,55869.2043,2,0,0,0.03,0.0,0.007121,-0.022425,-0.04503,1,0,0,1,0
100,10372.416482992,95705.53487999999,1,0,0,0.0,0.003,-0.005844500000000001,-0.0474605,-0.10598950000000001,1,0,0,0,1
103,544.4001445964033,84893.13449,4,0,0,0.03,0.0,-0.016544,0.031439,0.090737,0,1,0,1,0
104,575.104658252758,23025.76776,5,0,0,0.05,0.0,-0.014493,-0.039955000000000004,-0.096236,0,1,0,1,0
108,96.717894539914,166797.9389,4,1,0,0.0,0.003,-0.014493,-0.039955000000000004,-0.096236,0,1,1,0,0
109,6027.198913927857,387867.8415,4,0,0,0.03666666666666667,0.0,-0.0036453333333333325,-0.026164333333333328,-0.04691633333333334,0,1,0,1,0
112,3286.5480371821586,164604.5412,5,0,0,0.05,0.0,-0.014493,-0.039955000000000004,-0.096236,0,1,0,1,0
113,13022.3536542,106094.7634,1,0,0,0.03,0.0,0.007121,-0.022425,-0.04503,0,1,1,0,0
116,215.01263779506053,29649.455960000003,5,1,0,0.0,0.005,0.0,-0.044133,-0.05567999999999999,0,1,0,0,1
117,15776.668750080002,156876.9974,1,0,0,0.03,0.0,-0.014493,-0.039955000000000004,-0.096236,0,1,1,0,0
124,5729.021001875,640716.3651,3,0,0,0.03,0.0,-8.366666666666707e-05,-0.028268333333333336,-0.06209866666666667,0,1,1,0,0
125,11614.580259682138,222176.3245,4,0,0,0.0,0.003,-0.014493,-0.039955000000000004,-0.096236,1,0,0,1,0
128,6300.911667852187,130654.8959,4,0,0,0.03,0.0,-0.043774,-0.022469,0.0036899999999999997,0,1,1,0,0
129,413.1203056000848,71684.64577,3,1,0,0.03,0.0,0.002804,-0.054965999999999994,-0.11574300000000001,0,1,0,1,0
131,175.66288022497403,16145.644380000002,5,0,0,0.05,0.0,-0.016544,0.031439,0.090737,0,1,0,0,1
135,4573.303392800273,659731.4043,5,0,0,0.0,0.005,-0.043774,-0.022469,0.0036899999999999997,1,0,1,0,0
136,2.4538690013287123e-07,120047.64,5,0,0,0.04,0.0,0.007121,-0.022425,-0.04503,0,1,1,0,0
142,1563.1314397996357,99884.66021,5,0,0,0.0,0.005,0.002804,-0.054965999999999994,-0.11574300000000001,0,1,1,0,0
143,518.2142865216,193967.417,3,0,0,0.03,0.0,-0.014493,-0.039955000000000004,-0.096236,1,0,1,0,0
144,6.569689503521658e-08,114381.9863,5,1,1,0.04,0.0,-0.014493,-0.039955000000000004,-0.096236,0,1,0,0,1
146,440.8979236962568,38790.198619999996,5,0,0,0.05,0.0,0.002804,-0.054965999999999994,-0.11574300000000001,0,1,0,0,1
147,135.04002945,11484.882020000001,2,1,1,0.0,0.003,-0.016544,0.031439,0.090737,0,1,0,1,0
162,1.6090871213236824e-07,282308.7053,4,0,0,0.04,0.0,-0.016544,0.031439,0.090737,0,1,1,0,0
168,382.410543277,23378.040559999998,3,1,0,0.03,0.0,-0.016544,0.031439,0.090737,0,1,1,0,0
171,6.201429414431914e-08,63481.36489,3,0,0,0.03,0.0,-0.016544,0.031439,0.090737,0,1,0,0,1
176,1.3673229659616482e-08,242527.6264,5,0,0,0.04,0.0,-0.014493,-0.039955000000000004,-0.096236,1,0,1,0,0
