,riskscore,opened,SCRate,TrailerRate,Price,Vol,return-N6M,return-HYG,return-IVV,AUM,Subscribed,Gender,age,income,counts,ed_Deg or abv,ed_H.Sch/Dip.,FRC
0,5,0,0.03,0.0,86.980003,14187800,0.0,0.0,0.0,1396.1728775967401,0,2948,31,89953.0792779076,16.051653592110593,0,1,2
1,5,0,0.03,0.0,86.300003,11351300,0.0,0.003022,0.009479000000000001,4820.9214780421,1,2948,33,103063.060048064,55.86235585695286,0,1,2
2,5,0,0.03,0.0,86.519997,20175500,-0.003604,-0.0035700000000000003,-0.000223,3003.3543602324894,1,2948,42,71597.6145945062,34.712834770815924,0,1,2
3,5,0,0.03,0.0,88.209999,31575700,0.006375,0.0018170000000000003,6.3e-05,2657.2336407851603,1,2948,47,53341.78659506611,30.12395046943783,0,1,2
4,5,0,0.03,0.0,87.91999799999999,11627100,0.0,-0.000455,-0.000185,5161.82298660854,1,2948,46,75276.1850864249,58.710453867486905,0,1,2
5,5,0,0.03,0.0,86.769997,68415100,0.000883,-0.006981,-0.029985,6223.95080818572,1,2948,54,79338.8355614808,71.7292961089502,0,1,2
6,5,0,0.03,0.0,86.309998,72357700,-0.006189,0.0031379999999999997,0.048968,2034.7677108540697,0,2948,54,60331.5779608507,23.575110161097093,0,1,2
7,5,0,0.03,0.0,85.940002,58721000,0.0008900000000000001,-0.004287,-0.028673,3980.6982125719105,1,2948,43,79528.9787327615,46.31950337366655,0,1,2
8,5,0,0.03,0.0,88.209999,31575700,0.006375,0.0018170000000000003,6.3e-05,3082.08408998201,0,2948,40,100420.613950701,34.940302969304085,0,1,2
9,5,0,0.03,0.0,88.309998,15756600,0.003633,0.004207,0.009529000000000001,2913.35843674425,0,2948,34,78493.3030234163,32.99013138630408,0,1,2
10,5,0,0.03,0.0,88.400002,24637900,0.0,0.000226,0.00225,1922.64051235457,1,2948,37,77264.8126276841,21.74932657076829,0,1,2
11,5,0,0.03,0.0,88.43,22349200,0.001795,0.000339,0.008312,3128.39687243028,0,2948,41,89302.0056104375,35.37709908888703,0,1,2
12,5,0,0.03,0.0,87.690002,40838300,0.0,-0.004202,-0.009092,2709.10639441712,0,2948,40,84324.0874709795,30.89413083166676,0,1,2
13,5,0,0.03,0.0,81.389999,73609600,-0.007909000000000001,-0.043033999999999996,-0.080013,3444.3225528319203,1,2948,46,85756.4166558399,42.31874425790225,0,1,2
14,4,0,0.03,0.0,86.949997,11813000,-0.00271,-0.0008039999999999999,-0.00183,4353.01460640305,1,2948,49,70915.8755176317,50.06342445765754,0,1,2
15,4,0,0.03,0.0,87.110001,24566400,-0.017730000000000003,-0.001261,0.003148,466.497191783832,0,2948,41,60029.5599413519,5.35526560014426,0,1,2
16,4,0,0.03,0.0,88.129997,17936900,0.002705,-0.0010199999999999999,0.003953,5084.204886061811,0,2948,56,100453.484207255,57.68983387190868,0,1,2
17,4,0,0.03,0.0,11.3,8500,0.001773,0.00033999999999999997,-0.001239,1391.2093761377898,0,2948,37,65365.6948844516,123.11587399449466,0,1,1
18,4,0,0.03,0.0,86.040001,99309800,-0.0035240000000000002,0.004084,-0.009373999999999999,2891.51318976556,0,2948,47,95513.77330243449,33.60661501811884,0,1,2
19,4,0,0.03,0.0,11.29,41700,-0.007909000000000001,-0.043033999999999996,-0.080013,5491.06889249801,1,2948,46,113426.396175049,486.3657123558911,0,1,1
20,5,0,0.03,0.0,87.16999799999999,13873100,0.0,-0.000688,-0.0020050000000000003,240.436311461493,0,2948,27,93356.70947358961,2.7582461509462584,0,1,2
21,5,0,0.03,0.0,86.93,16094700,0.0,0.001382,0.008922,1162.70764459571,1,2948,28,65162.6169273178,13.375217354143677,0,1,2
22,5,0,0.03,0.0,87.610001,18088100,0.0,0.0010279999999999998,0.00034500000000000004,4114.05343471778,1,2948,46,60750.0962121841,46.95871918455725,0,1,2
23,5,0,0.03,0.0,87.66999799999999,25063800,-0.0026739999999999997,0.005967,0.015512,4128.12525317319,1,2948,40,67259.3718677383,47.0870919054109,0,1,2
24,2,0,0.03,0.0,11.09,3000,0.0009029999999999999,0.003134,0.013628,2073.1270497102105,0,2948,43,80009.8529470571,186.93661404059608,0,1,1
25,2,0,0.03,0.0,11.01,194500,0.0,0.001382,0.008922,3959.50198092341,1,2948,33,95608.1187460676,359.627791182871,0,1,1
26,2,0,0.03,0.0,11.32,1800,0.000884,-0.010754999999999999,-0.033372000000000006,5161.255436343889,0,2948,56,96101.1749373765,455.9412929632411,0,1,1
27,2,0,0.03,0.0,11.25,16700,0.0008900000000000001,-0.004287,-0.028673,2036.6567031980499,1,2948,31,92546.07164300821,181.0361513953822,0,1,1
28,2,1,0.03,0.0,11.1,5100,-0.004484,0.003921,0.013085,3857.5973978999896,1,2948,32,100293.37082731699,347.5312971081072,0,0,1
29,2,1,0.03,0.0,87.07,14814300,0.0027170000000000002,0.0013800000000000002,0.002799,5877.94573848936,1,2948,58,75187.2711557181,67.50827769024188,0,0,2
30,2,1,0.03,0.0,11.1,9900,0.00271,0.000802,0.003972,2225.20795104432,1,2948,33,72704.9705528158,200.46918477876758,0,0,1
31,2,1,0.03,0.0,11.07,3700,-0.0018030000000000001,0.0009220000000000001,0.002226,4564.38775566211,0,2948,53,100903.209867943,412.32048379964857,0,0,1
32,2,1,0.03,0.0,88.400002,11398800,-0.0017699999999999999,-0.000113,0.0014470000000000002,1216.55354607703,1,2948,44,56411.9198382189,13.761917630692247,0,0,2
33,5,1,0.03,0.0,86.940002,14722700,0.0,-0.00045999999999999996,-0.003832,3884.1597934840397,1,2948,48,80398.8020740578,44.676325099279836,1,0,2
