,education,intermediaryid,riskscore,SCRate,TrailerRate,FundRiskScore,FundName,Price,Vol,return-N6M,return-HYG,return-IVV,AUM,Open,Gender,age,income,counts,sub
0,H.Sch/Dip.,6,5,0.03,0.0,M,iShares iBoxx $ High Yield Corporate Bond ETF,86.980003,14187800,0.0,0.0,0.0,396.1728775967402,0,1,31,89953.0792779076,16.05165359211059,0
1,H.Sch/Dip.,6,5,0.03,0.0,M,iShares iBoxx $ High Yield Corporate Bond ETF,86.300003,11351300,0.0,0.003022,0.009479000000000001,3820.9214780421003,1,1,33,103063.060048064,55.86235585695286,1
2,H.Sch/Dip.,6,5,0.03,0.0,M,iShares iBoxx $ High Yield Corporate Bond ETF,86.519997,20175500,-0.003604,-0.0035700000000000007,-0.000223,2003.354360232489,1,1,42,71597.6145945062,34.712834770815924,1
3,H.Sch/Dip.,6,5,0.03,0.0,M,iShares iBoxx $ High Yield Corporate Bond ETF,88.209999,31575700,0.006375,0.0018170000000000005,6.3e-05,1657.2336407851606,1,0,47,53341.786595066114,30.12395046943783,1
4,H.Sch/Dip.,6,5,0.03,0.0,M,iShares iBoxx $ High Yield Corporate Bond ETF,87.91999799999998,11627100,0.0,-0.000455,-0.000185,4161.82298660854,1,1,46,75276.1850864249,58.7104538674869,1
5,H.Sch/Dip.,6,5,0.03,0.0,M,iShares iBoxx $ High Yield Corporate Bond ETF,86.769997,68415100,0.000883,-0.006981,-0.029985,5223.95080818572,1,1,54,79338.8355614808,71.72929610895021,1
6,H.Sch/Dip.,6,5,0.03,0.0,M,iShares iBoxx $ High Yield Corporate Bond ETF,86.309998,72357700,-0.006189,0.0031379999999999997,0.048968,1034.7677108540697,0,0,54,60331.5779608507,23.575110161097086,1
7,H.Sch/Dip.,6,5,0.03,0.0,M,iShares iBoxx $ High Yield Corporate Bond ETF,85.940002,58721000,0.0008900000000000002,-0.004287,-0.028673,2980.698212571911,1,0,43,79528.9787327615,46.319503373666535,1
8,H.Sch/Dip.,6,5,0.03,0.0,M,iShares iBoxx $ High Yield Corporate Bond ETF,77.300003,46291400,0.008876,0.026014999999999996,0.034184,2082.08408998201,0,1,40,100420.613950701,39.87172018585834,0
9,H.Sch/Dip.,6,5,0.03,0.0,M,iShares iBoxx $ High Yield Corporate Bond ETF,80.43,33630600,-0.002849,0.001993,-0.010098000000000001,1913.35843674425,0,1,34,78493.3030234163,36.222285673806404,1
