,unit_count,riskscore,opened,SCRate,TrailerRate,Price,Vol,return-N6M,return-HYG,return-IVV,Subscribed,Gender,age,income,total_transactions,ed_Deg or abv,ed_H.Sch/Dip.,FRC
0,-86.86169004,2,1,0.03,0.0,10.28,0,0.0,-0.044133,-0.05567999999999999,1,0,38,59585.2933843402,2412.72705992471,0,0,1
1,0.0,2,0,0.03,0.0,80.050003,69164600,-0.016544,0.031439,0.090737,1,0,44,69632.7139194471,3445.5082590753996,1,0,2
2,167.8063145,3,0,0.03,0.0,10.28,0,0.0,-0.044133,-0.05567999999999999,0,0,60,92942.19235328131,5321.2792163676295,0,1,1
3,-13.15959863,5,1,0.03,0.0,80.050003,69164600,-0.016544,0.031439,0.090737,0,1,41,88269.1176072933,229.82450814856603,0,1,2
4,13.14664807,4,0,0.03,0.0,77.610001,82926400,-0.014493,-0.039955000000000004,-0.096236,1,0,36,99612.7604222606,4329.09007858072,0,1,2
5,3333.692493,1,0,0.03,0.0,10.7,33900,-0.016544,0.031439,0.090737,0,1,34,87707.16110894941,1288.62160037972,1,0,1
6,3669.7752119999996,1,0,0.03,0.0,10.28,10200,-0.041937999999999996,0.009385,0.063593,1,0,42,100265.997133687,5767.75643816171,1,0,1
7,-81.60112911,5,1,0.03,0.0,80.050003,69164600,-0.016544,0.031439,0.090737,1,0,46,66083.1867238962,5107.78922280763,0,1,2
8,-86.42842758,5,1,0.03,0.0,76.360001,68569400,-0.041937999999999996,0.009385,0.063593,1,1,33,88042.5572815157,2635.75398968793,0,1,2
9,53.55447627,4,0,0.03,0.0,71.349998,45706300,-0.043774,-0.022469,0.0036899999999999997,1,0,36,52106.0310770651,427.958518477638,0,1,2
10,-5.493914222999999,4,0,0.0,0.003,72.989998,54289800,0.0,-0.044133,-0.05567999999999999,1,0,54,69395.1782410685,5047.796974080279,0,0,2
11,10.06511401,3,0,0.03,0.0,77.610001,82926400,-0.014493,-0.039955000000000004,-0.096236,0,1,41,39270.2926688851,167.592437078449,0,0,2
12,6.81700294,3,0,0.03,0.0,80.050003,69164600,-0.016544,0.031439,0.090737,1,1,31,122657.27514552699,3694.7649249893702,0,0,2
13,-0.740536223,3,0,0.03,0.0,69.75,55796500,0.007121,-0.022425,-0.04503,1,0,36,63522.3928695339,2797.15724953408,0,0,2
14,88.63463449,3,0,0.03,0.0,9.9,21700,0.007121,-0.022425,-0.04503,1,0,41,63797.260227300896,1724.2472567086302,0,1,1
15,156.0851828,3,0,0.03,0.0,10.28,10200,-0.041937999999999996,0.009385,0.063593,1,0,39,116922.463591315,6211.27880316078,1,0,1
16,-140.26425,1,0,0.03,0.0,9.83,7000,-0.043774,-0.022469,0.0036899999999999997,1,0,39,72406.0870222172,3412.68482230106,1,0,1
17,878.8980856000001,1,0,0.03,0.0,9.9,21700,0.007121,-0.022425,-0.04503,0,0,40,73240.6751122879,892.655925228186,1,0,1
