,trd_date,fund_id,investor_id,gender,education,intermediaryid,riskscore,opened,SCRate,TrailerRate,FundRiskScore,FundName,Price,Vol,return-N6M,return-HYG,return-IVV,AUM,Subscribed,Gender,age,income,counts
0,2020/3/18,N6M,63780,M,Sec. or below,1,2,1,0.03,0.0,L,iShares J.P. Morgan USD Asia Credit Bond Index ETF,10.28,0,0.0,-0.044133,-0.05567999999999999,2412.72705992471,1,0,38,59585.2933843402,234.70107586816246
1,2020/3/13,HYG,62562,M,Deg or abv,1,2,0,0.03,0.0,M,iShares iBoxx $ High Yield Corporate Bond ETF,80.050003,69164600,-0.016544,0.031439,0.090737,3445.5082590753996,1,0,44,69632.7139194471,43.041950405366
2,2020/3/18,N6M,44498,M,H.Sch/Dip.,1,3,0,0.03,0.0,L,iShares J.P. Morgan USD Asia Credit Bond Index ETF,10.28,0,0.0,-0.044133,-0.05567999999999999,5321.2792163676295,0,0,60,92942.19235328131,517.6341650163064
3,2020/3/13,HYG,46692,M,H.Sch/Dip.,1,5,1,0.03,0.0,M,iShares iBoxx $ High Yield Corporate Bond ETF,80.050003,69164600,-0.016544,0.031439,0.090737,229.82450814856603,0,1,41,88269.1176072933,2.8710118617805174
4,2020/3/12,HYG,31587,M,H.Sch/Dip.,2,4,0,0.03,0.0,M,iShares iBoxx $ High Yield Corporate Bond ETF,77.610001,82926400,-0.014493,-0.039955000000000004,-0.096236,4329.09007858072,1,0,36,99612.7604222606,55.78005441052269
5,2020/3/13,N6M,19681,F,Deg or abv,1,1,0,0.03,0.0,L,iShares J.P. Morgan USD Asia Credit Bond Index ETF,10.7,33900,-0.016544,0.031439,0.090737,1288.62160037972,0,1,34,87707.16110894941,120.4319252691327
6,2020/3/17,N6M,19681,F,Deg or abv,1,1,0,0.03,0.0,L,iShares J.P. Morgan USD Asia Credit Bond Index ETF,10.28,10200,-0.041937999999999996,0.009385,0.063593,5767.75643816171,1,0,42,100265.997133687,561.0658013775983
7,2020/3/13,HYG,39881,F,H.Sch/Dip.,5,5,1,0.03,0.0,M,iShares iBoxx $ High Yield Corporate Bond ETF,80.050003,69164600,-0.016544,0.031439,0.090737,5107.78922280763,1,0,46,66083.1867238962,63.80748321530518
8,2020/3/17,HYG,39881,F,H.Sch/Dip.,5,5,1,0.03,0.0,M,iShares iBoxx $ High Yield Corporate Bond ETF,76.360001,68569400,-0.041937999999999996,0.009385,0.063593,2635.75398968793,1,1,33,88042.5572815157,34.51746929243662
9,2020/3/19,HYG,43749,M,H.Sch/Dip.,7,4,0,0.03,0.0,M,iShares iBoxx $ High Yield Corporate Bond ETF,71.349998,45706300,-0.043774,-0.022469,0.0036899999999999997,427.958518477638,1,0,36,52106.0310770651,5.998017245601576
