"","AUM","x1","x2","x3","x4"
"1",1396.17287759674,0,1,31,89953.0792779076
"2",4820.9214780421,1,0,33,103063.060048064
"3",3003.35436023249,1,1,42,71597.6145945062
"4",2657.23364078516,1,0,47,53341.7865950661
"5",5161.82298660854,1,0,46,75276.1850864249
"6",6223.95080818572,1,0,54,79338.8355614808
"7",2034.76771085407,0,1,54,60331.5779608507
"8",3980.69821257191,1,0,43,79528.9787327615
"9",3082.08408998201,0,1,40,100420.613950701
"10",2913.35843674425,0,0,34,78493.3030234163
"11",1922.64051235457,1,1,37,77264.8126276841
"12",3128.39687243028,0,1,41,89302.0056104375
"13",2709.10639441712,0,1,40,84324.0874709795
"14",3444.32255283192,1,1,46,85756.4166558399
"15",4353.01460640305,1,0,49,70915.8755176317
"16",466.497191783832,0,1,41,60029.5599413519
"17",5084.20488606181,0,1,56,100453.484207255
"18",1391.20937613779,0,1,37,65365.6948844516
"19",2891.51318976556,0,1,47,95513.7733024345
"20",5491.06889249801,1,1,46,113426.396175049
"21",240.436311461493,0,1,27,93356.7094735896
"22",1162.70764459571,1,0,28,65162.6169273178
"23",4114.05343471778,1,0,46,60750.0962121841
"24",4128.12525317319,1,0,40,67259.3718677383
"25",2073.12704971021,0,1,43,80009.8529470571
"26",3959.50198092341,1,0,33,95608.1187460676
"27",5161.25543634389,0,1,56,96101.1749373765
"28",2036.65670319805,1,1,31,92546.0716430082
"29",3857.59739789999,1,0,32,100293.370827317
"30",5877.94573848936,1,0,58,75187.2711557181
"31",2225.20795104432,1,0,33,72704.9705528158
"32",4564.38775566211,0,1,53,100903.209867943
"33",1216.55354607703,1,1,44,56411.9198382189
"34",3884.15979348404,1,0,48,80398.8020740578
"35",3042.0864069722,0,1,43,101885.276948285
"36",4331.21233055617,0,1,39,125881.47177676
"37",3316.48444759965,1,0,42,86650.9448443606
"38",253.603667907447,0,1,31,71346.6365237532
"39",-1549.6626648845,1,1,26,82696.6165923587
"40",2009.32913925042,0,1,42,66460.9054694049
"41",4813.71447573243,1,1,46,103416.069369441
"42",1510.73041586699,0,1,27,100944.230806401
"43",2348.58042268368,1,0,28,76459.7471899343
"44",2578.27631119449,0,0,49,63123.8041345863
"45",1220.47595801873,0,1,31,86529.91360933
"46",3417.51408167533,1,1,70,48160.6887832615
"47",2530.48954893832,1,0,31,80755.739490962
"48",5601.90533626643,0,1,54,104666.031970043
"49",5620.25250641526,1,1,44,117248.105694033
"50",-943.000225988841,1,1,23,51545.4971735386
"51",3432.61730079546,0,1,50,79777.7449004802
"52",1869.54250652466,0,1,30,110863.466878139
"53",2431.76311828878,1,0,23,98262.1372997153
"54",2160.57868487591,0,1,39,103825.762914013
"55",2815.91996195314,1,0,40,71517.9151688868
"56",4878.93278660587,1,1,37,109484.332367523
"57",5742.60118893952,1,0,61,67339.0300496643
"58",5214.7358799472,0,0,50,88575.68323573
"59",3542.49900898901,1,0,51,57284.6258969323
"60",-22.344354413477,0,0,37,50630.9752715129
"61",290.798690621532,0,1,39,54513.5121424057
"62",4230.85685958632,0,1,42,125495.339990078
"63",1380.16529376681,0,1,43,67516.5929458219
"64",1559.90768193703,0,1,44,84724.0104562792
"65",3564.44351899127,1,1,55,63131.8525668466
"66",-290.286143327292,0,1,47,46285.187372173
"67",4570.85152873986,0,1,74,75969.2047373122
"68",2905.18122978988,0,1,51,66964.822907966
"69",4960.06586176394,0,0,51,90550.0950732573
"70",2058.15257709288,0,1,23,100218.859889201
"71",-486.111193078299,0,1,34,52569.5519028926
"72",-744.322872863572,0,0,26,41678.4810566855
"73",353.03501401334,0,1,39,63136.5390708508
"74",84.2073627951499,0,0,31,46481.3253258848
"75",-1508.5298177481,0,1,45,18757.4145200531
"76",662.549932437958,0,1,54,49573.4816463278
"77",1343.26128774505,0,1,41,89087.904247236
"78",4163.89438388195,0,0,52,85578.8086126857
"79",-518.834783515944,0,1,32,66223.8558790787
"80",6409.04664712234,1,0,56,105371.552885988
"81",6636.57540771283,1,0,37,99282.1864893945
"82",2970.0579912914,1,0,46,52833.8599820713
"83",3421.5681266887,1,1,43,76109.1759474158
"84",1524.99473518967,1,0,21,70949.654898174
"85",4472.07838504539,1,0,46,71030.3136177813
"86",2489.52593885884,0,1,45,85885.1731601982
"87",4642.93097197815,1,1,47,79714.3996536616
"88",6702.18282606616,1,0,49,111532.419578816
"89",1663.68617038027,0,1,39,89228.2789719376
"90",5974.71276583034,1,0,44,108289.678585853
"91",1985.67706731183,0,1,30,96176.27669757
"92",2088.838677603,0,1,38,74965.494501886
"93",2879.54124945311,0,1,39,94879.1850506049
"94",1747.71467461299,0,0,42,49237.3369515104
"95",4998.45508550467,1,0,50,93490.013003029
"96",4132.35734651559,0,0,46,93310.8212143839
"97",5673.0136778299,0,0,56,90445.3565368774
"98",3753.9023230864,0,0,40,80181.7330232055
"99",3567.73346191488,0,1,35,89676.3228027236
"100",2739.14407690703,1,0,59,29357.3010669549
"101",6811.76223543274,1,0,59,89072.4807989228
"102",4386.83037473774,1,0,42,86952.6636729097
"103",3609.80034369064,1,0,47,69440.2858582109
"104",2527.08493936117,1,0,45,63396.551826473
"105",5266.35401150769,1,1,40,98369.6830222054
"106",3823.6633562591,1,0,42,64753.8147665827
"107",3764.96730315215,1,0,39,78413.145492327
"108",1783.99715713301,0,1,45,68763.8953825092
"109",2815.86808544547,1,0,36,74230.5410527867
"110",6821.62827286681,1,0,62,75022.3517382689
"111",2886.03657888335,1,0,38,72372.1260077846
"112",2603.72415702016,0,1,44,86439.533330765
"113",2719.86570509686,1,0,35,56036.4994552751
"114",6740.64179637236,1,0,54,99644.1165825793
"115",2145.13078772164,0,1,31,81244.2327364316
"116",6138.12478737345,0,0,53,94979.8183518193
"117",5101.54781331223,1,0,54,81063.099382215
"118",-219.414826551663,1,0,32,56574.9455691733
"119",4683.16714076404,0,0,44,108888.372251221
"120",3327.75391188593,1,0,38,76253.5458136698
"121",3206.03045135142,1,1,39,74792.3192896048
"122",1866.75293368592,0,1,36,88606.0191193351
"123",2642.22189015664,0,1,52,71571.7391576946
"124",5274.50880708857,1,1,47,120460.252202749
"125",3784.80618016372,1,0,40,77520.510587762
"126",4897.4567704582,1,0,40,95033.3497046485
"127",3503.05008135983,0,1,44,95033.3315620593
"128",2328.09359233795,1,0,35,60518.9144479247
"129",-611.01294043695,0,1,23,72806.9201340804
"130",5054.74382520418,1,0,36,104301.030405695
"131",6107.21468224436,0,0,53,113803.557806743
"132",845.866974021667,0,1,45,63481.7830182676
"133",3136.1240660942,0,1,46,85493.6364417047
"134",5284.1047208858,1,0,37,115783.669570121
"135",6332.01583700707,1,0,58,65134.7102873382
"136",1652.65425958235,1,0,31,78724.2162036615
"137",5732.6001803968,1,0,43,87252.8589945394
